Roll,Pitch,Direction
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Left
99,99.0,Left
99,99.0,Left
100,99.0,Left
99,99.0,Left
99,99.0,Left
99,99.0,Left
100,99.0,Left
100,99.0,Left
101,99.0,Left
101,99.0,Left
101,99.0,Left
101,99.0,Left
101,99.0,Left
102,99.0,Right
102,99.0,Right
103,99.0,Right
103,99.0,Right
102,99.0,Right
103,99.0,Right
104,99.0,Right
104,99.0,Right
104,99.0,Right
104,99.0,Right
103,99.0,Right
103,99.0,Right
104,98.0,Right
105,98.0,Right
105,98.0,Right
106,98.0,Right
105,98.0,Right
106,98.0,Right
106,98.0,Right
106,98.0,Right
107,98.0,Right
107,98.0,Right
107,97.0,Right
108,97.0,Right
107,97.0,Right
108,97.0,Right
108,97.0,Right
108,97.0,Right
108,97.0,Right
109,97.0,Right
109,97.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,96.0,Right
109,97.0,Right
109,97.0,Right
108,97.0,Right
108,97.0,Right
108,97.0,Right
107,97.0,Right
105,98.0,Right
104,98.0,Right
105,98.0,Right
105,98.0,Right
105,98.0,Right
104,98.0,Right
104,98.0,Right
104,98.0,Right
103,98.0,Right
103,98.0,Right
101,99.0,Right
100,99.0,Right
100,99.0,Right
100,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
99,99.0,Right
98,99.0,Right
99,99.0,Right
97,100.0,Right
97,100.0,Right
96,100.0,Left
97,100.0,Left
96,100.0,Left
96,100.0,Left
95,100.0,Left
95,100.0,Left
96,100.0,Left
96,100.0,Left
94,100.0,Left
94,100.0,Left
93,100.0,Left
93,100.0,Left
92,100.0,Left
93,100.0,Left
93,100.0,Left
93,100.0,Left
92,100.0,Left
92,100.0,Left
91,100.0,Left
92,100.0,Left
91,100.0,Left
91,100.0,Left
91,100.0,Left
92,99.0,Left
92,99.0,Left
91,100.0,Left
91,100.0,Left
91,100.0,Left
92,99.0,Left
91,100.0,Left
92,100.0,Left
94,99.0,Left
94,99.0,Left
93,100.0,Left
93,100.0,Left
95,99.0,Left
96,99.0,Left
97,99.0,Left
99,99.0,Left
99,99.0,Left
100,99.0,Left
100,99.0,Left
100,99.0,Left
100,99.0,Left
101,99.0,Left
103,98.0,Left
103,98.0,Left
103,98.0,Left
105,98.0,Left
107,98.0,Left
107,98.0,Left
107,98.0,Left
107,98.0,Left
107,98.0,Left
108,97.0,Left
108,97.0,Left
108,97.0,Left
108,97.0,Left
110,97.0,Left
110,97.0,Left
110,97.0,Left
111,97.0,Left
111,97.0,Left
111,97.0,Left
111,97.0,Left
111,97.0,Left
111,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
113,97.0,Left
112,97.0,Left
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
113,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
111,97.0,Down
112,97.0,Down
111,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
111,97.0,Down
111,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
111,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
112,97.0,Down
113,97.0,Down
113,97.0,Down
113,97.0,Down
109,98.0,Down
111,98.0,Down
112,97.0,Down
111,98.0,Down
106,98.0,Down
105,98.0,Down
107,98.0,Down
107,98.0,Down
104,98.0,Down
104,98.0,Down
104,99.0,Down
103,99.0,Down
102,99.0,Down
102,99.0,Down
102,99.0,Down
102,99.0,Down
100,99.0,Down
99,100.0,Up
98,100.0,Up
99,99.0,Up
97,99.0,Up
98,99.0,Up
96,99.0,Up
97,99.0,Up
96,99.0,Up
96,99.0,Up
96,99.0,Up
96,99.0,Up
95,100.0,Up
95,99.0,Up
93,99.0,Up
94,99.0,Up
93,99.0,Up
92,99.0,Up
93,99.0,Up
92,99.0,Up
92,99.0,Up
92,99.0,Up
92,99.0,Up
91,99.0,Up
91,99.0,Up
91,99.0,Up
91,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
89,99.0,Up
90,99.0,Up
90,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
90,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
90,99.0,Up
89,99.0,Up
90,99.0,Up
89,99.0,Up
90,99.0,Up
90,99.0,Up
89,99.0,Up
89,99.0,Up
90,99.0,Up
89,99.0,Up
89,99.0,Up
89,99.0,Up
90,99.0,Up
90,99.0,Up
90,98.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
89,99.0,Up
89,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,99.0,Up
90,98.0,Up
90,98.0,Up
90,99.0,Up
91,99.0,Up
92,98.0,Up
92,98.0,Up
92,99.0,Up
93,98.0,Up
96,98.0,Up
94,98.0,Up
94,98.0,Up
96,98.0,Up
97,98.0,Up
98,98.0,Up
99,98.0,Up
98,98.0,Up
100,98.0,Up
101,98.0,Up
101,98.0,Up
100,98.0,Up
100,98.0,Up
102,98.0,Up
102,98.0,Up
102,98.0,Up
104,98.0,Up
104,98.0,Up
104,98.0,Up
104,98.0,Up
105,98.0,Up
106,98.0,Up
105,98.0,Up
105,98.0,Up
106,98.0,Up
106,98.0,Up
108,98.0,Up
108,98.0,Up
109,98.0,Up
109,98.0,Up
108,98.0,Up
109,98.0,Up
110,98.0,Up
110,98.0,Up
110,98.0,Up
110,98.0,Up
111,98.0,Up
112,98.0,Up
112,98.0,Up
112,98.0,Up
113,98.0,Up
113,98.0,Up
112,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
112,98.0,Left
113,98.0,Left
112,98.0,Left
113,97.0,Left
113,98.0,Left
113,97.0,Left
113,98.0,Left
112,98.0,Left
113,98.0,Left
113,98.0,Left
112,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
112,98.0,Left
112,98.0,Left
112,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
112,98.0,Left
112,97.0,Left
112,97.0,Left
112,98.0,Left
112,98.0,Left
113,97.0,Left
112,98.0,Left
112,98.0,Left
112,97.0,Left
112,98.0,Left
112,97.0,Left
112,98.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,98.0,Left
112,97.0,Left
112,98.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,98.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,98.0,Left
113,97.0,Left
112,98.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
112,97.0,Left
113,97.0,Left
113,98.0,Left
113,97.0,Left
113,97.0,Left
113,98.0,Left
113,98.0,Left
113,98.0,Left
110,98.0,Left
110,98.0,Left
110,98.0,Left
109,98.0,Left
108,98.0,Left
109,98.0,Left
110,98.0,Left
110,98.0,Left
109,99.0,Left
107,98.0,Left
106,99.0,Left
105,99.0,Left
104,99.0,Left
104,99.0,Left
104,99.0,Left
104,99.0,Left
105,99.0,Left
104,99.0,Left
102,100.0,Left
101,100.0,Left
102,98.0,Left
102,98.0,Left
102,98.0,Left
102,98.0,Left
101,97.0,Left
102,97.0,Left
100,97.0,Left
100,97.0,Left
100,96.0,Left
100,95.0,Left
101,95.0,Left
100,95.0,Left
100,95.0,Left
99,95.0,Left
100,95.0,Left
100,95.0,Left
100,94.0,Right
99,94.0,Right
100,94.0,Right
99,94.0,Right
99,93.0,Right
98,92.0,Right
99,93.0,Right
100,93.0,Right
99,92.0,Right
98,93.0,Right
98,93.0,Right
98,92.0,Right
99,92.0,Right
99,92.0,Right
98,92.0,Right
98,91.0,Right
98,91.0,Right
98,92.0,Right
98,92.0,Right
98,91.0,Right
98,92.0,Right
98,92.0,Right
98,91.0,Right
97,91.0,Right
97,92.0,Right
98,91.0,Right
98,91.0,Right
97,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
97,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
97,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
98,91.0,Right
99,92.0,Right
98,92.0,Right
98,93.0,Right
98,93.0,Right
98,93.0,Right
101,93.0,Right
102,93.0,Right
99,94.0,Right
98,95.0,Right
98,94.0,Right
99,97.0,Right
99,97.0,Right
100,97.0,Right
101,98.0,Right
100,98.0,Right
100,98.0,Right
101,98.0,Right
101,99.0,Right
100,99.0,Right
99,100.0,Right
101,101.0,Right
102,102.0,Right
101,102.0,Right
101,102.0,Right
100,103.0,Right
99,102.0,Right
100,103.0,Right
101,103.0,Right
101,103.0,Right
100,104.0,Right
100,104.0,Right
100,104.0,Right
100,105.0,Right
99,105.0,Right
100,104.0,Right
99,105.0,Right
100,105.0,Right
101,105.0,Right
101,107.0,Right
100,106.0,Right
100,106.0,Right
101,106.0,Right
102,107.0,Right
102,107.0,Right
100,107.0,Right
100,107.0,Right
101,108.0,Right
100,109.0,Right
100,109.0,Right
99,110.0,Right
101,109.0,Right
101,110.0,Right
102,109.0,Right
101,109.0,Right
100,110.0,Right
101,109.0,Right
101,109.0,Right
101,110.0,Right
101,110.0,Right
100,111.0,Right
100,109.0,Right
100,111.0,Right
100,111.0,Right
101,111.0,Right
100,110.0,Right
100,111.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
100,111.0,Right
101,110.0,Right
100,111.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
101,109.0,Right
101,110.0,Right
100,111.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,111.0,Right
101,110.0,Right
100,111.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,111.0,Right
100,110.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Right
100,111.0,Right
100,111.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
100,111.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,111.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
100,110.0,Right
100,110.0,Right
100,111.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Right
100,110.0,Right
100,110.0,Right
101,110.0,Down
101,110.0,Down
101,110.0,Down
101,110.0,Down
100,110.0,Down
100,110.0,Down
100,110.0,Down
101,110.0,Down
101,110.0,Down
101,109.0,Down
101,110.0,Down
100,111.0,Down
100,110.0,Down
100,110.0,Down
101,109.0,Down
101,110.0,Down
100,110.0,Down
101,109.0,Down
101,106.0,Down
102,106.0,Down
103,108.0,Down
102,108.0,Down
101,106.0,Down
100,105.0,Down
102,104.0,Down
101,104.0,Down
103,105.0,Down
102,104.0,Down
101,103.0,Down
103,102.0,Down
106,102.0,Down
105,102.0,Down
102,102.0,Down
105,101.0,Down
106,101.0,Down
105,101.0,Down
105,101.0,Down
106,101.0,Down
107,100.0,Down
107,100.0,Down
107,100.0,Down
108,100.0,Down
108,101.0,Down
109,100.0,Down
110,100.0,Down
110,100.0,Down
110,100.0,Down
110,100.0,Down
110,100.0,Down
111,99.0,Down
112,99.0,Down
112,100.0,Down
112,100.0,Down
112,99.0,Down
112,99.0,Down
112,99.0,Down
113,99.0,Down
113,99.0,Down
113,99.0,Down
113,99.0,Down
113,99.0,Down
114,99.0,Down
115,99.0,Down
113,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
115,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
113,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
113,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
114,99.0,Down
113,99.0,Down
114,99.0,Down
113,99.0,Down
113,99.0,Down
114,99.0,Down
114,99.0,Left
113,99.0,Left
114,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
114,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
113,99.0,Left
114,99.0,Left
113,99.0,Left
113,99.0,Left
112,99.0,Left
111,99.0,Left
112,99.0,Left
112,99.0,Left
110,99.0,Left
110,99.0,Left
109,99.0,Left
108,99.0,Left
108,99.0,Left
108,100.0,Left
107,100.0,Left
107,100.0,Left
107,100.0,Left
106,99.0,Left
106,99.0,Left
105,99.0,Left
105,99.0,Left
105,99.0,Left
104,99.0,Left
104,99.0,Left
103,98.0,Left
104,99.0,Left
105,100.0,Left
102,99.0,Left
102,99.0,Left
101,99.0,Left
100,100.0,Left
99,99.0,Left
101,99.0,Left
101,99.0,Left
99,99.0,Left
98,99.0,Left
99,99.0,Left
97,99.0,Left
97,99.0,Left
96,99.0,Left
96,99.0,Left
96,99.0,Left
96,99.0,Left
96,99.0,Left
95,99.0,Left
95,99.0,Left
95,99.0,Left
95,99.0,Left
93,99.0,Left
92,99.0,Left
92,99.0,Left
93,98.0,Left
92,99.0,Left
92,98.0,Left
92,99.0,Left
91,99.0,Left
92,98.0,Left
93,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
89,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
89,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
90,99.0,Left
